r_m,r_over_R,chord_m,twist_deg,phi_deg,alpha_deg,reynolds,cl,cd,a,a_prime,dthrust_n,dtorque_nm,local_solidity
21.1875,0.5296875,1.8070116664030988,1.7181235151669165,11.150406945694556,9.43228343052764,4278234.378662618,1.2047921517731437,0.00872951052120916,0.24823721434124935,0.012445449228184398,4208.660659358853,16905.8908437305,0.040721393123224946
22.0625,0.5515625,1.7439955916925411,1.3299740142761007,10.753843455813405,9.423869441537304,4289493.632911912,1.2040962044306185,0.008717230136830454,0.24647566514548747,0.011426267412274836,4386.822629534741,17656.83319781264,0.037742620167480034
22.9375,0.5734375,1.6832029925757621,0.9706366510003829,10.382595697467675,9.411959046467292,4295106.93645867,1.2030603773784858,0.00870343861402195,0.2449179859336161,0.010519105978670696,4558.528263289055,18376.951219041235,0.03503739420104676
23.8125,0.5953125,1.6250228958619255,0.637043841181757,10.03529280932437,9.398248968142612,4296708.682508247,1.2018440479920787,0.008689255504238139,0.2434843507252371,0.009714196539177393,4725.418973359193,19074.55288998309,0.032583360820652815
24.6875,0.6171875,1.5695834756939402,0.32654519980767605,9.710923818721476,9.3843786189138,4295356.391987522,1.2005985858712673,0.008675944827120854,0.24208389943138006,0.009001765260778628,4888.786235487074,19757.335197223634,0.030356289873666637
25.5625,0.6390625,1.5168439311012363,0.03683947688003957,9.404963865125476,9.368124388245436,4291561.030375516,1.1991276893185818,0.008661122124396457,0.2408818412096459,0.008360217412701985,5047.977243902915,20417.284499935413,0.028332112610312456
26.4375,0.6609375,1.4666497981852866,-0.23408070012004578,9.116845766883603,9.35092646700365,4285622.079303015,1.1975611864658993,0.008646117534138287,0.23979574575433793,0.007784508353893629,5203.565251020395,21058.89442924399,0.026487893919536917
27.3125,0.6828125,1.4187633576708274,-0.48797398248048834,8.846074317396896,9.334048299877384,4277524.044390974,1.1960115692086508,0.008632195215682655,0.23874386972316214,0.007269319921538123,5355.763350242518,21685.567111451197,0.024802182310403684
28.1875,0.7046875,1.3730793949185713,-0.7263874313091874,8.588522964248977,9.314910395558165,4267489.604856202,1.1942492144544095,0.008616718924863813,0.23793217155342006,0.006802035808837863,5503.514025719116,22285.890284652698,0.02325843437256791
29.0625,0.7265625,1.3293246427665861,-0.950687229029071,8.343729922018623,9.294417151047695,4255261.014223883,1.1923531761259292,0.00860068261959929,0.23731317660488244,0.0063802774919656455,5646.566867987194,22860.123840699154,0.02183933810272724
29.9375,0.7484375,1.2866856447724562,-1.1620842223188006,8.111249317516993,9.273333539835793,4238676.406358292,1.1903799007826885,0.008585614269755713,0.23682986849862359,0.005997609977978075,5781.940973399859,23397.493706395457,0.020520990119841563
30.8125,0.7703125,1.2445790529759717,-1.3616552780584072,7.890021796794301,9.251677074852708,4216050.490233093,1.1883211375440703,0.008572136864321544,0.23648953564382472,0.005649627973522929,5906.71991414103,23885.624452557346,0.019285767952917397
31.6875,0.7921875,1.20226071575632,-1.5503612275892815,7.679147053393925,9.229508280983207,4184922.3839858207,1.1860583261523279,0.008564871941567144,0.23629156242279226,0.005332121901708234,6016.069856245938,24303.821017853497,0.018115572619911813
32.5625,0.8140625,1.1587600553332196,-1.729062015589702,7.477559387836865,9.206621403426567,4141747.165265104,1.183657424299415,0.008561762874725057,0.23626469388854718,0.005042330641104009,6104.1205422787625,24627.65667681197,0.016990930425832173
33.4375,0.8359375,1.1127845432786496,-1.898529546441891,7.284479277032046,9.183008823473937,4081437.386253778,1.181102238685048,0.008564422490607817,0.23641815150818898,0.0047773116952666995,6161.776374537145,24819.88418758697,0.01588980880679365
34.3125,0.8578125,1.0625786058261184,-2.0594586245371738,7.099265831126725,9.158724455663899,3996681.572638473,1.1783628309353753,0.008575666509063922,0.23675404102679187,0.004534350459161058,6175.733642095271,24826.72462624061,0.014785979238550502
35.1875,0.8796875,1.0057059908167976,-2.212476309158615,6.920577306247367,9.13305361540598,3876871.252436529,1.1753215734779774,0.00859898345415556,0.2373435727632118,0.00430892070155375,6126.02129931907,24565.19626706892,0.013646585838916574
36.0625,0.9015625,0.9386854092477839,-2.35814994463128,6.749889307962233,9.108039252593514,3706410.520314696,1.1720980276233854,0.00864196080859059,0.23799867323153687,0.0041025031609742135,5984.520893931449,23931.061376820442,0.012428125301076481
36.9375,0.9234375,0.8562935686570886,-2.4969940787522074,6.586210200538928,9.083204279291134,3461303.9465798573,1.1685345043195992,0.00871342251106039,0.238755323197295,0.003910476672644563,5705.803130927804,22742.99956965699,0.011068698817427405
37.8125,0.9453125,0.7499429322401004,-2.6294764443878607,6.430306632283872,9.059783076671733,3101699.3025289034,1.1642579024590132,0.008855039736129397,0.23946842648908684,0.0037285758170501615,5214.011622471156,20702.805176637197,0.00946965617477096
38.6875,0.9671875,0.6026327476295434,-2.756023148483266,6.284094760387225,9.04011790887049,2548923.8234910634,1.1579509105821162,0.009190072258854995,0.23983324060238564,0.00354611848879204,4359.468238587703,17218.916258999416,0.007437439533773894
39.5625,0.9890625,0.48,-2.877023187974043,5.502153457164006,8.379176645138049,2074168.3518510056,1.0917613646917665,0.009063380791082883,0.31988497131867377,0.004001329619981907,3421.6566127220867,11906.410395575065,0.005792938213013063
