x_norm,y_norm,x_in,y_in,z_in
0.249178,0.075973,0.5143884595058794,0.1568342086140838,0.0
0.23343,0.075843,0.48187921125644084,0.1565658442330559,0.0
0.217845,0.075564,0.44970645065398346,0.15598989298454224,0.0
0.202493,0.075129,0.4180146815959837,0.15509190447879512,0.0
0.187491,0.074528,0.3870454320253667,0.1538512353018893,0.0
0.172937,0.073721,0.35700100739859963,0.15218531179812395,0.0
0.158867,0.072668,0.32795572400581324,0.15001156031179813,0.0
0.14529,0.071338,0.2999281609195403,0.14726598625974371,0.0
0.13221,0.069707,0.2729265755053508,0.14389904544854012,0.0
0.119635,0.06776,0.24696748249438505,0.13987977275729954,0.0
0.107582,0.065493,0.2220859756903158,0.13519991082045185,0.0
0.096082,0.06291,0.1983460496763113,0.1298677170035672,0.0
0.085179,0.060031,0.17583853547364253,0.12392447813449599,0.0
0.074932,0.056892,0.15468522922446826,0.11744451050336903,0.0
0.065408,0.053545,0.13502444180208747,0.11053515986259746,0.0
0.05667,0.05006,0.1169862267142291,0.10334093010965784,0.0
0.048765,0.046513,0.10066760800634168,0.09601871119038184,0.0
0.041709,0.04298,0.08610161514070554,0.08872539305060115,0.0
0.035481,0.039524,0.07324489694807769,0.08159102919804466,0.0
0.030029,0.03619,0.06199010767604705,0.07470851499537588,0.0
0.025281,0.033004,0.05218861474435198,0.06813152331880037,0.0
0.021156,0.029975,0.04367320650019819,0.061878633240850855,0.0
0.017576,0.027101,0.03628286431496896,0.05594571607874225,0.0
0.014467,0.024372,0.02986482692561766,0.05031212841854936,0.0
0.011767,0.021776,0.024291105165807906,0.044953098163561904,0.0
0.009426,0.019298,0.0194584819659136,0.03983766019289207,0.0
0.007399,0.016923,0.01527406196327124,0.03493484938565201,0.0
0.005656,0.014637,0.011675914916105166,0.03021576496234642,0.0
0.00417,0.012429,0.008608303606817283,0.025657699167657557,0.0
0.002924,0.010289,0.006036134231734708,0.021240008587660196,0.0
0.001906,0.008207,0.00393463469414718,0.016942049808429123,0.0
0.001107,0.00618,0.0022852259215219977,0.012757629805786763,0.0
0.000526,0.004205,0.0010858435724666405,0.008680555555555558,0.0
0.000159,0.002286,0.00032823028141101867,0.0047190844233055895,0.0
6e-06,0.000433,1.238604835513278e-05,0.0008938598229620824,0.0
6.2e-05,-0.001379,0.00012798916633637207,-0.0028467267802880173,0.0
0.000356,-0.003224,0.0007349055357378783,-0.006655436649491347,0.0
0.000924,-0.005065,0.0019074514466904482,-0.010455889153124589,0.0
0.001793,-0.006866,0.0037013641167921796,-0.014173768001056944,0.0
0.002969,-0.008589,0.006129029594398204,-0.017730628220372573,0.0
0.004444,-0.010211,0.009173933148368346,-0.02107898995904347,0.0
0.006205,-0.011723,0.012809238340599816,-0.024200274144536932,0.0
0.008243,-0.013129,0.01701636609855992,-0.027102738142423047,0.0
0.010561,-0.01444,0.021801509446426216,-0.029809089708019557,0.0
0.013176,-0.01567,0.027199762187871585,-0.03234822962082178,0.0
0.016117,-0.016834,0.03327099022327917,-0.03475112300171754,0.0
0.019434,-0.017948,0.04011841062227508,-0.03705079931298719,0.0
0.023195,-0.019025,0.04788239859955081,-0.03927409499273352,0.0
0.027495,-0.020082,0.05675906658739596,-0.041456103844629416,0.0
0.032463,-0.021133,0.0670147146254459,-0.043625726648170174,0.0
0.038271,-0.022198,0.07900440943321443,-0.045824250231206246,0.0
0.045144,-0.023298,0.09319262782401903,-0.04809502576298059,0.0
0.053354,-0.024457,0.11014087065662573,-0.050487597436913736,0.0
0.063181,-0.025704,0.1304271535209407,-0.05306183115338883,0.0
0.074817,-0.027063,0.1544478299643282,-0.055867271105826406,0.0
0.088218,-0.028546,0.1821120689655173,-0.05892868939093672,0.0
0.103049,-0.030142,0.212728316158013,-0.062223378253402045,0.0
0.118801,-0.031815,0.2452458217730216,-0.06567702140309158,0.0
0.134999,-0.033517,0.27868402364909506,-0.06919053045316423,0.0
0.151304,-0.035198,0.31234311005416837,-0.07266068833399393,0.0
0.167523,-0.03681,0.34582466309948484,-0.07598840665873961,0.0
0.18357,-0.038312,0.37895114942528746,-0.07908904743030784,0.0
0.19944,-0.039664,0.41171224732461364,-0.08188003699299777,0.0
0.215209,-0.040838,0.44426484674329514,-0.08430357378781875,0.0
0.230982,-0.041843,0.47682570352754666,-0.08637823688730349,0.0
0.246806,-0.042695,0.5094918417228168,-0.08813705575373233,0.0
0.262701,-0.043406,0.5423045481569562,-0.08960480248381558,0.0
